solo_KillDeathRatio,solo_WinRatio,solo_Rating,solo_DamagePg,solo_HealsPg,solo_KillsPg,solo_MoveDistancePg,solo_TimeSurvivedPg
3.14,17.65,1559.78,255.36,1.94,2.59,3321.28,1086.42
4.41,18.18,1884.53,393.04,1.82,3.61,5021.41,1000.45
14.0,50.0,1798.7,751.95,1.0,7.0,5986.82,1677.73
10.5,33.33,1668.67,637.48,2.0,7.0,6526.96,1640.17
5.73,31.25,2123.32,411.95,1.38,3.94,5712.21,1375.2
2.45,8.45,2604.65,284.57,1.94,2.24,4722.81,1042.61
2.71,26.32,1993.43,238.4,1.53,2.0,5028.11,1373.22
3.68,13.64,2461.78,339.44,1.52,3.18,3761.16,1120.05
4.17,25.0,1550.87,372.38,1.12,3.12,3910.41,1285.1
3.12,6.03,2125.14,325.38,1.38,2.93,2877.85,916.64
1.2,1.19,2335.96,144.5,1.21,1.18,2066.09,695.51
4.46,10.34,2172.29,436.99,1.92,4.0,5350.69,1050.35
2.6,5.56,2480.35,290.98,1.58,2.46,3444.3,998.76
3.6,13.04,1978.0,327.68,1.65,3.13,4829.43,1347.69
5.0,33.33,1315.49,370.65,0.67,3.33,3343.21,1212.67
3.35,23.03,2840.73,319.88,1.68,2.58,7336.99,1495.58
5.06,18.46,2331.6,460.9,1.66,4.12,5780.64,1341.76
6.6,37.5,2088.75,422.42,1.25,4.12,4771.72,1307.95
2.49,4.44,2216.46,285.22,1.04,2.38,3559.85,1020.36
4.25,12.73,2079.32,381.97,2.67,3.71,3115.34,1141.15
2.54,8.89,2146.49,260.27,1.18,2.31,3937.17,958.31
5.17,33.33,1678.51,348.39,1.89,3.44,5745.61,1303.69
3.58,14.29,1825.93,337.68,1.0,3.07,3194.48,1320.62
4.52,17.33,2928.09,419.71,1.6,3.74,6059.62,1195.57
5.16,23.77,2956.5,460.02,1.75,3.94,5907.92,1498.2
2.12,5.19,2512.27,232.01,0.94,2.01,3119.74,1136.55
2.39,5.77,2348.9,254.07,1.9,2.25,4375.19,1029.77
2.0,5.36,2083.4,218.11,1.57,1.89,2451.11,856.54
2.3,9.09,1748.67,241.88,1.27,2.09,4568.36,1140.64
3.45,15.38,1545.78,341.3,2.23,2.92,5306.28,1338.46
